DOY,co2_flux,air_temperature,ET,ch4_flux,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
2.729,1.87232,300.462,0.0021,-0.0322,,,,,
2.77,-9.83013,303.801,0.0606,0.534776,,,,,
2.812,2.08077,298.615,0.0456,0.0939,,,,,
2.833,6.7644,298.574,0.00502,-0.0945,,,,,
2.854,0.730851,298.001,0.0533,0.0702,,,,,
2.874,3.04995,297.793,0.0367,-0.22142,,,,,
2.895,6.55399,297.964,0.0102,0.0476,,,,,
2.916,3.04175,297.506,0.0271,-0.0344,,,,,
2.937,1.5973,297.658,0.00786,0.025,,,,,
2.958,2.44883,297.256,0.0185,0.0317,,,,,
2.979,3.14404,297.567,0.0251,-0.195712,,,,,
3.0,1.75282,297.607,0.00464,-0.349621,,,,,
3.02,3.24496,297.479,0.00949,-0.0413,,,,,
3.041,3.1833,297.141,0.00675,-0.0272,,,,,
3.062,3.56177,297.105,0.0112,-0.0281,,,,,
3.083,3.22179,297.013,0.00756,-0.0208,,,,,
3.104,4.17683,296.606,0.00297,0.141443,,,,,
3.124,3.16994,296.618,0.00394,0.33532,,,,,
3.145,2.3117,296.603,0.00233,-0.0275,,,,,
3.166,2.33298,296.671,0.00346,0.003,,,,,
3.187,2.83367,296.94,0.00923,0.0173,,,,,
3.208,2.26464,296.796,0.00465,-0.00326,,,,,
3.229,4.41478,296.709,0.0137,0.00363,,,,,
3.249,4.34383,296.65,0.0121,-0.0188,,,,,
3.27,2.28692,296.112,-8.68e-05,0.00312,,,,,
3.458,0.80975,306.007,0.142866,0.121964,,,,,
3.479,-1.6053,300.304,0.20057,-0.041,,,,,
3.499,0.957269,297.959,0.0909,-0.0446,,,,,
3.52,-0.60037,298.107,0.136779,0.186976,,,,,
3.541,-1.3515,298.469,0.159882,-0.0731,,,,,
3.562,-2.66105,299.383,0.53623,0.142695,,,,,
3.583,-1.90441,299.875,0.47098,-0.0393,,,,,
3.624,-2.05281,300.835,0.449359,-0.0404,,,,,
3.645,-0.0642,300.909,0.281135,-0.0501,,,,,
3.666,-0.328467,301.443,0.193629,0.230687,,,,,
3.708,-3.96192,300.589,0.45261,-0.0413,,,,,
3.729,-2.79243,300.964,0.360008,-0.0246,,,,,
3.749,-3.56182,300.565,0.344201,0.0224,,,,,
3.77,-0.656522,300.266,0.223337,0.11623,,,,,
3.791,1.05509,299.858,0.162837,-0.557502,,,,,
3.833,1.01452,298.103,0.0856,-0.249643,,,,,
3.854,3.35719,297.215,0.0464,-0.163021,,,,,
3.874,3.77675,296.938,0.0402,0.142142,,,,,
3.895,2.91502,296.601,0.0178,0.0122,,,,,
3.916,3.09958,296.714,0.013,0.089,,,,,
3.937,3.55039,296.888,0.0222,0.0211,,,,,
3.958,3.60738,297.079,0.0208,0.0737,,,,,
3.979,3.86185,297.117,0.0243,0.0402,,,,,
4.0,3.64938,297.051,0.018,-0.0547,,,,,
4.02,3.388,296.993,0.0131,0.0724,,,,,
4.041,2.96885,297.091,0.0101,0.103133,,,,,
4.062,3.16255,296.873,0.0111,0.138561,,,,,
4.104,2.90599,297.552,0.0162,-0.0426,,,,,
4.124,4.25336,296.841,0.0226,-0.135376,,,,,
4.145,3.34636,296.368,0.0216,-0.023,,,,,
4.166,-0.343345,296.536,0.0246,-0.177428,,,,,
4.187,2.25634,296.318,0.0136,-0.15737,,,,,
4.208,3.63265,295.763,0.0292,-0.0605,,,,,
4.229,5.9358,295.758,0.10283,-0.179319,,,,,
4.624,-4.11208,300.17,0.288577,0.000351,,,,,
4.645,13.5595,296.321,0.0615,0.109278,,,,,
4.687,-4.2537,297.484,0.246839,-0.280985,,,,,
4.708,13.6473,296.475,0.12323,-0.157986,,,,,
4.729,-12.0298,295.793,0.0981,0.0458,,,,,
5.354,8.63097,303.376,0.530191,0.173844,,,,,
5.416,3.38277,298.023,0.203615,0.27775,,,,,
5.437,8.19844,295.435,0.206995,-0.0888,,,,,
5.458,6.78605,295.743,0.247796,-0.0343,,,,,
5.479,7.67113,296.034,0.232603,-0.0469,,,,,
5.499,8.72349,296.23,0.256959,0.128665,,,,,
5.52,3.66019,295.95,0.247274,0.0129,,,,,
5.541,5.70287,295.851,0.131792,0.0805,,,,,
