Air Temperature,CO2 Flux
300.462,1.87232
300.137,0.641137
303.801,-9.83013
301.241,0.481164
298.615,2.08077
298.574,6.7644
298.001,0.730851
297.793,3.04995
297.964,6.55399
297.506,3.04175
297.658,1.5973
297.256,2.44883
297.567,3.14404
297.607,1.75282
297.479,3.24496
297.141,3.1833
297.105,3.56177
297.013,3.22179
296.606,4.17683
296.618,3.16994
296.603,2.3117
296.671,2.33298
296.94,2.83367
296.796,2.26464
296.709,4.41478
296.65,4.34383
296.112,2.28692
297.876,-1.58655
306.007,0.80975
300.304,-1.6053
297.959,0.957269
298.107,-0.60037
298.469,-1.3515
299.383,-2.66105
299.875,-1.90441
300.745,-1.17778
300.835,-2.05281
300.909,-6.42E-02
301.443,-0.328467
301.275,-1.73545
300.589,-3.96192
300.964,-2.79243
300.565,-3.56182
300.266,-0.656522
299.858,1.05509
298.103,1.01452
297.215,3.35719
296.938,3.77675
296.601,2.91502
296.714,3.09958
296.888,3.55039
297.079,3.60738
297.117,3.86185
297.051,3.64938
296.993,3.388
297.091,2.96885
296.873,3.16255
297.552,2.90599
296.841,4.25336
296.368,3.34636
296.536,-0.343345
296.318,2.25634
295.763,3.63265
295.758,5.9358
297.514,18.8144
298.697,4.20943
303.554,-1.24498
303.786,-3.35207
305.164,12.6299
300.17,-4.11208
296.321,13.5595
297.484,-4.2537
296.475,13.6473
295.793,-12.0298
303.757,8.3881
303.367,9.77043
303.376,8.63097
303.768,15.7979
298.023,3.38277
295.435,8.19844
295.743,6.78605
296.034,7.67113
296.23,8.72349
295.95,3.66019
295.851,5.70287
297.34,-7.63952
296.375,-4.76088
296.58,-6.71049
297.207,-7.50378
297.204,-8.32704
296.965,-6.08081
296.6,-3.90149
296.622,-5.11309
296.508,-4.16223
296.487,-5.37334
296.284,-3.27891
296.349,-3.0483
296.02,-0.617836
295.74,0.819294
295.474,2.36356
295.231,3.59177
294.941,3.49505
294.808,3.45055
294.655,3.25785
294.508,3.41747
294.436,4.29107
294.336,3.31113
294.355,4.15125
294.144,3.69412
294.159,3.95551
293.994,3.88631
293.797,3.74643
293.634,3.97613
293.652,2.22098
294.223,11.4899
301.269,-4.8877
295.568,4.99721
293.546,3.53014
292.763,3.26724
293.144,2.31864
293.202,1.97267
293.337,0.899326
293.481,-0.742169
293.894,-4.23066
294.328,-5.25516
294.355,-5.18298
294.671,-6.7262
295.401,-9.87073
295.784,-11.9847
295.579,-12.1143
295.285,-11.475
295.619,-10.1527
295.809,-12.6027
296.01,-12.5696
296.019,-10.902
296.027,-10.0782
296.165,-9.51158
296.252,-8.16756
296.186,-7.83331
295.878,-6.29453
295.836,-6.45127
295.786,-4.4952
295.297,-1.54656
295.141,0.240224
294.974,0.706316
294.897,1.77439
294.755,2.47076
294.695,2.36712
294.633,2.38332
294.605,2.61043
294.552,2.34356
294.416,2.46536
294.448,2.22127
293.963,2.66173
293.695,2.60174
293.964,1.98584
293.496,0.961157
292.311,-4.21563
292.418,1.0159
291.98,1.87618
291.133,1.33214
290.234,-0.503684
290.666,2.75978
289.013,6.7767
289.189,-5.44466
291.675,9.16427
294.191,-5.34E-02
295.267,-2.54807
295.551,-4.59248
296.071,-5.50125
297.16,-6.9584
297.93,-7.26028
298.462,-8.68187
299.184,-8.50468
299.879,-7.76147
300.167,-5.16199
300.645,-3.95578
300.356,-4.08517
300.76,-3.66163
299.964,-3.83607
299.964,-4.3733
300.317,-5.07678
300.916,-6.71935
300.824,-5.52163
300.719,-5.98313
300.138,-4.66606
299.882,-4.34783
299.87,-3.83427
299.617,-3.23733
299.671,-2.15038
299.984,-0.524086
299.747,-0.554779
299.034,1.43162
298.226,2.71805
297.492,3.28123
296.745,3.25321
296.17,3.1338
295.61,2.93806
295.198,2.09245
294.986,2.48764
294.539,3.5333
294.275,3.17557
293.956,2.99364
293.695,2.96263
293.768,3.63302
293.828,3.53087
293.599,2.51243
293.509,3.02187
293.634,3.09586
293.597,3.37531
293.719,4.6164
293.673,4.52654
293.464,3.85148
293.917,2.28745
294.707,0.179462
295.618,-0.952996
296.569,-2.12332
297.401,-3.84702
297.993,-5.47696
298.534,-7.73706
298.941,-10.646
299.696,-8.55857
300.601,-7.39844
300.629,-7.60283
301.034,-7.7775
301.573,-8.51053
301.652,-8.05805
301.993,-9.22298
302.19,-8.78264
301.856,-13.5756
300.483,-13.2398
300.438,-12.5373
300.34,-8.25627
300.22,-8.15617
299.795,-6.49394
299.706,-5.10906
299.332,-4.03891
298.854,-2.97721
298.735,-1.62532
298.611,2.98566
298.594,2.17654
298.522,2.62588
298.328,2.70495
297.681,2.15203
296.066,2.92996
294.338,1.82906
293.41,4.16454
292.465,3.91147
292.627,0.302741
293.412,-9.91082
291.491,-5.13705
290.225,1.92522
290.116,0.800388
290.168,0.963952
290.079,2.02932
290.248,5.3628
290.012,4.97238
290.05,2.10086
291.464,4.16444
292.76,1.22498
293.89,0.884139
295.459,-0.512461
