Temp,ET
299.289,4.64E-03
298.901,1.80E-02
305.052,4.42E-02
295.492,1.35E-02
295.829,3.95E-03
295.712,-2.32E-03
294.839,-6.21E-03
298.067,-8.51E-03
299.679,6.00E-03
301.503,8.32E-03
294.213,3.08E-02
296.659,6.31E-02
297.57,0.18339
308.496,0.107864
297.836,5.70E-02
296.224,0.170624
296.333,1.55E-02
298.827,-6.42E-04
299.387,4.32E-02
299.55,8.56E-03
297.808,4.12E-03
306.676,3.88E-02
299.142,9.49E-03
298.852,1.31E-02
302.587,4.71E-02
295.5,1.16E-03
295.307,3.34E-03
295.21,-1.47E-03
293.75,-3.13E-03
297.868,-1.49E-03
298.633,7.65E-03
301.486,1.04E-02
293.623,2.74E-02
296.569,6.37E-02
296.861,0.17064
307.668,0.134516
297.369,4.21E-02
297.332,9.19E-02
295.932,5.58E-03
296.573,1.14E-02
298.552,-1.59E-03
298.915,5.28E-02
298.65,1.20E-02
298.365,1.03E-03
298.79,6.75E-03
298.906,1.01E-02
305.076,3.66E-02
295.268,-1.36E-03
295.025,8.26E-03
294.898,-1.47E-03
292.703,-9.02E-03
297.527,-2.32E-02
297.336,6.47E-03
301.346,2.70E-02
293.001,3.46E-02
296.131,5.05E-02
293.681,0.142161
306.247,7.06E-02
296.786,2.27E-02
296.93,0.113779
296.279,6.54E-03
296.831,-6.19E-04
298.448,4.18E-02
298.048,1.05E-02
297.924,9.06E-04
297.598,-3.19E-02
298.744,1.12E-02
298.678,1.11E-02
304.586,4.50E-02
295.282,1.43E-03
295.319,7.74E-03
294.542,3.91E-03
292.627,1.15E-02
296.92,3.52E-02
297.668,3.26E-02
300.629,0.162582
292.586,7.99E-02
293.793,2.44E-02
292.655,6.42E-02
305.188,8.16E-03
295.933,-1.01E-03
296.739,4.52E-02
296.111,1.37E-02
297,1.10E-03
298.312,2.39E-02
296.808,3.15E-02
296.725,-6.25E-03
297.612,1.56E-02
298.638,7.56E-03
298.483,4.90E-02
304.188,-1.48E-03
295.092,8.15E-03
294.799,-2.41E-03
294.256,2.08E-02
293.412,7.97E-03
295.572,2.91E-02
297.107,2.34E-02
300.995,0.141851
292.511,7.72E-02
292.509,1.88E-02
292.471,3.88E-03
304.645,5.24E-04
294.692,4.28E-02
296.641,1.81E-02
295.838,2.11E-03
297.017,8.19E-02
298.147,4.32E-02
296.852,-6.71E-03
294.381,1.98E-02
298.613,6.26E-03
298.21,2.97E-03
298.553,1.62E-02
303.759,4.76E-02
294.873,1.22E-03
293.534,9.39E-03
294.331,-9.09E-04
291.491,3.77E-02
295.72,1.90E-02
297.329,4.69E-02
301.169,2.69E-02
292.433,0.146795
292.303,8.51E-02
292.119,3.40E-02
304.248,5.50E-03
293.68,-1.26E-03
296.463,5.06E-02
296.319,1.80E-02
296.029,7.53E-03
298.102,6.95E-02
296.776,7.29E-02
292.778,-8.11E-03
299.015,3.66E-02
298.224,3.94E-03
298.286,2.26E-02
303.953,5.07E-02
294.708,-4.85E-04
293.572,1.16E-02
294.397,-1.16E-03
290.225,2.64E-02
295.94,1.37E-02
298.571,4.76E-02
300.667,2.35E-02
292.817,0.172126
292.012,0.109535
291.065,2.25E-02
304.174,1.07E-02
293.782,-1.49E-03
296.119,6.45E-02
296.166,1.11E-02
295.272,2.22E-03
297.814,6.74E-02
