Hours,Temp,ET,CO2,CH4
0:00,298.8155455,0.02,2.420750258,-0.005122001
0:30,297.9429091,0.02,2.320300353,0.019732892
1:00,297.4899545,0.02,2.419149784,-0.006230559
1:30,297.0207727,0.02,1.675858403,-0.001811907
2:00,296.6754091,0.02,1.869474932,0.003597665
2:30,296.3288182,0.02,1.902447157,-0.007974681
3:00,296.1770909,0.02,1.959067061,0.030502526
3:30,295.9644091,0.02,1.5182769,-0.002239964
4:00,295.8471818,0.02,1.905927569,-0.011361129
4:30,295.8846364,0.02,1.911236688,0.010747616
5:00,295.8455,0.01,2.277357958,0.000577269
5:30,295.7593636,0.03,3.215591259,0.018077397
6:00,295.6144091,0.03,3.549243492,0.011048287
6:30,295.6750909,0.02,2.6840875,-0.00920771
7:00,295.7070455,0.02,2.487404894,-0.006148902
7:30,296.6157273,0.04,1.027676429,-0.011751837
8:00,297.6195455,0.05,-0.797574679,-0.001396205
8:30,298.4276364,0.07,-1.082295844,-0.011056653
9:00,298.7020909,0.09,-2.765927341,-0.001398595
9:30,300.0578182,0.12,-4.220405407,-0.001172814
10:00,300.1976818,0.15,-5.624379769,0.021285955
10:30,300.2820909,0.18,-5.914582556,0.001157005
11:00,301.3728636,0.21,-6.035457326,0.024017614
11:30,302.3339545,0.24,-6.755747148,-0.016360173
12:00,302.7680455,0.28,-6.719121328,-0.020178206
12:30,303.3193636,0.29,-6.676541878,0.023564142
13:00,303.7450909,0.29,-6.264508367,0.004089763
13:30,304.1400909,0.31,-6.647339417,0.001272004
14:00,304.591,0.31,-6.132732017,0.00692739
14:30,304.9236818,0.3,-5.98277258,-0.03619515
15:00,304.8616364,0.3,-6.079787184,0.017110144
15:30,304.689,0.28,-6.174745921,-0.000834854
16:00,304.5982273,0.27,-6.190819367,0.010339399
16:30,304.6657273,0.27,-5.645100154,-0.005832763
17:00,304.0258636,0.24,-4.805766571,0.001952975
17:30,303.9444545,0.19,-5.040116475,-0.025578527
18:00,303.8224545,0.18,-4.179761984,-0.01597286
18:30,303.8216818,0.15,-3.303336529,-0.008441176
19:00,303.1348636,0.12,-2.0484288,-0.011702689
19:30,302.5256818,0.08,-0.443169738,0.01017128
20:00,302.1675,0.05,0.754317887,0.023923834
20:30,301.3951364,0.04,1.394497878,-0.006176861
21:00,301.0833636,0.03,2.1845356,0.006016806
21:30,300.4396364,0.02,2.060055703,-0.005548575
22:00,300.1933182,0.03,2.194950672,-3.9844E-05
22:30,299.7541364,0.03,2.472592712,0.000171808
23:00,299.107,0.02,2.420895846,-0.005152601
23:30,298.7815455,0.02,2.370798828,0.001330634
,,,,0.000265149
