DOY,ch4_flux,air_temperature
2.729,-3.22E-02,301.584
2.749,0.55336,300.137
2.77,0.534776,304.273
2.812,9.39E-02,300.406
2.833,-9.45E-02,299.826
2.854,7.02E-02,299.671
2.874,-0.22142,299.498
2.895,4.76E-02,299.429
2.916,-3.44E-02,299.148
2.937,2.50E-02,298.708
2.958,3.17E-02,298.891
2.979,-0.195712,299.254
3,-0.349621,299.289
3.02,-4.13E-02,299.142
3.041,-2.72E-02,298.79
3.062,-2.81E-02,298.744
3.083,-2.08E-02,298.638
3.104,0.141443,298.21
3.124,0.33532,298.224
3.145,-2.75E-02,298.211
3.166,3.00E-03,298.295
3.187,1.73E-02,298.591
3.208,-3.26E-03,298.426
3.229,3.63E-03,298.328
3.249,-1.88E-02,298.283
3.27,3.12E-03,297.621
3.291,3.86E-03,297.876
3.312,5.29E-02,302.076
3.354,-1.13E-02,308.236
3.458,0.121964,307.255
3.479,-4.10E-02,301.619
3.499,-4.46E-02,299.643
3.52,0.186976,300.168
3.541,-7.31E-02,300.547
3.562,0.142695,301.455
3.583,-3.93E-02,301.927
3.624,-4.04E-02,302.802
3.645,-5.01E-02,302.797
3.666,0.230687,303.283
3.708,-4.13E-02,302.649
3.729,-2.46E-02,303.003
3.749,2.24E-02,302.696
3.77,0.11623,302.294
3.791,-0.557502,301.889
3.833,-0.249643,299.926
3.854,-0.163021,299.005
3.874,0.142142,298.733
3.895,1.22E-02,298.407
3.916,8.90E-02,298.528
3.937,2.11E-02,298.714
3.958,7.37E-02,298.915
3.979,4.02E-02,298.967
4,-5.47E-02,298.901
4.02,7.24E-02,298.852
4.041,0.103133,298.906
4.062,0.138561,298.678
4.083,3.33E-04,298.483
4.104,-4.26E-02,298.553
4.124,-0.135376,298.286
4.145,-2.30E-02,298.213
4.166,-0.177428,298.068
4.187,-0.15737,297.908
4.208,-6.05E-02,297.489
4.229,-0.179319,297.085
4.249,-0.535936,297.507
4.27,0.158192,298.651
4.312,-0.429056,301.738
4.333,7.53E-02,303.603
4.374,7.43E-02,302.628
4.395,7.78E-02,303.626
4.458,0.315786,301.619
4.479,0.414541,303.563
4.499,-1.87E-02,304.069
4.604,0.400158,305.128
4.624,3.51E-04,301.417
4.645,0.109278,297.426
4.666,-6.69E-02,297.389
4.687,-0.280985,298.835
4.708,-0.157986,297.674
4.729,4.58E-02,297.303
4.791,0.138382,304.538
4.916,-0.392747,303.654
4.937,0.540181,305.203
4.979,0.246629,297.465
5.02,0.150916,302.587
5.041,0.228074,305.076
5.062,0.114929,304.586
5.124,-0.104327,303.953
5.145,0.165149,303.949
5.166,0.127748,303.578
5.187,-0.112411,303.442
5.208,-0.106521,303.391
5.229,0.165019,303.641
5.249,-7.55E-02,303.292
5.27,-6.71E-02,303.361
5.291,-0.127535,303.234
5.312,0.223309,303.356
5.333,-0.141675,303.63
5.354,0.173844,299.364
5.374,-7.91E-02,304.399
5.395,0.131276,303.757
5.416,0.27775,299.573
5.437,-8.88E-02,296.825
5.458,-3.43E-02,297.034
5.479,-4.69E-02,297.314
5.499,0.128665,297.484
5.52,1.29E-02,297.187
5.541,8.05E-02,296.967
5.562,5.02E-02,297.338
5.583,3.06E-02,297.815
5.604,-1.40E-02,298.191
5.624,-1.67E-02,298.835
5.645,-3.63E-02,298.799
5.666,-4.66E-02,298.536
5.687,-0.161815,298.116
5.708,4.08E-02,298.102
5.729,-0.144936,297.958
5.749,-0.12833,297.93
5.77,0.107107,297.71
5.791,-0.104537,297.764
5.812,-9.87E-03,297.407
5.833,-6.11E-03,297.094
5.854,-2.50E-02,296.833
5.874,2.03E-02,296.572
5.895,3.06E-02,296.238
5.916,4.09E-02,296.072
5.937,1.59E-03,295.883
5.958,2.76E-02,295.701
5.979,-1.14E-02,295.612
6,2.03E-02,295.492
6.02,3.94E-02,295.5
6.041,4.54E-02,295.268
6.062,9.91E-03,295.282
6.083,1.16E-02,295.092
6.104,6.55E-04,294.873
6.124,1.34E-02,294.708
6.145,1.84E-02,294.68
6.166,-2.57E-02,294.223
6.187,-1.40E-02,298.895
6.208,3.62E-02,301.269
6.229,0.191611,297.632
6.249,-2.87E-02,296.857
6.27,1.64E-02,294.793
6.291,1.86E-02,293.965
6.312,2.21E-02,294.333
6.333,-3.46E-02,294.369
6.354,4.06E-02,294.526
6.374,-3.18E-02,294.654
6.395,-4.88E-02,295.028
6.416,1.80E-02,295.482
6.437,1.34E-02,295.574
6.458,-7.01E-02,295.87
6.479,-0.101281,296.632
6.499,-0.181664,297.059
6.52,5.40E-03,296.886
6.541,5.27E-02,296.622
6.562,-0.151434,296.909
6.583,-9.06E-02,297.156
6.604,-7.71E-02,297.335
6.624,-5.86E-02,297.357
6.645,0.11352,297.309
6.666,-0.121994,297.468
6.687,1.54E-02,297.568
6.708,0.106623,297.519
6.729,-1.85E-03,297.24
6.749,2.14E-03,297.215
6.77,-1.46E-02,297.205
6.812,0.138697,296.55
6.833,0.126193,296.355
6.854,5.28E-02,296.275
6.874,3.20E-02,296.122
6.895,-1.52E-02,296.063
6.916,3.11E-02,296.015
6.937,-1.09E-02,295.982
6.958,-4.70E-03,295.927
6.979,-1.00E-02,295.789
7,-1.53E-02,295.829
7.02,0.107146,295.307
7.041,-5.87E-03,295.025
7.062,8.81E-03,295.319
7.083,-2.71E-02,294.799
7.104,-1.07E-03,293.534
