Hours,Temp,ET,CO2,CH4
0,298.3792273,0.02,2.370525306,0.007305446
1,297.2553636,0.02,2.047504094,-0.004021233
2,296.5021137,0.02,1.885961045,-0.002188508
3,296.07075,0.02,1.738671981,0.014131281
4,295.8659091,0.02,1.908582129,-0.000306757
5,295.8024318,0.02,2.746474609,0.009327333
6,295.64475,0.025,3.116665496,0.000920289
7,296.1613864,0.03,1.757540662,-0.00895037
8,298.023591,0.06,-0.939935262,-0.006226429
9,299.3799546,0.105,-3.493166374,-0.001285705
10,300.2398864,0.165,-5.769481163,0.01122148
11,301.8534091,0.225,-6.395602237,0.003828721
12,303.0437046,0.285,-6.697831603,0.001692968
13,303.9425909,0.3,-6.455923892,0.002680884
14,304.7573409,0.305,-6.057752299,-0.01463388
15,304.7753182,0.29,-6.127266553,0.008137645
16,304.6319773,0.27,-5.917959761,0.002253318
17,303.9851591,0.215,-4.922941523,-0.011812776
18,303.8220682,0.165,-3.741549257,-0.012207018
19,302.8302727,0.1,-1.245799269,-0.000765705
20,301.7813182,0.045,1.074407883,0.008873487
21,300.7615,0.025,2.122295652,0.000234116
22,3.00E+02,3.00E-02,2.33E+00,6.60E-05
23,298.9442728,0.02,2.395847337,-0.001910984
