,DOY,co2_flux,air_temperature,ET,X,X.1,X.2,nearest_date,ch4_flux,i.air_temperature
1,2.729,1.87232,300.462,0.0021,NA,NA,NA,2.729,-0.0322,301.584
2,2.749,1.87232,300.462,0.0021,NA,NA,NA,2.729,0.55336,300.137
3,2.77,-9.83013,303.801,0.0606,NA,NA,NA,2.77,0.534776,304.273
4,2.812,2.08077,298.615,0.0456,NA,NA,NA,2.812,0.0939,300.406
5,2.833,6.7644,298.574,0.00502,NA,NA,NA,2.833,-0.0945,299.826
6,2.854,0.730851,298.001,0.0533,NA,NA,NA,2.854,0.0702,299.671
7,2.874,3.04995,297.793,0.0367,NA,NA,NA,2.874,-0.22142,299.498
8,2.895,6.55399,297.964,0.0102,NA,NA,NA,2.895,0.0476,299.429
9,2.916,3.04175,297.506,0.0271,NA,NA,NA,2.916,-0.0344,299.148
10,2.937,1.5973,297.658,0.00786,NA,NA,NA,2.937,0.025,298.708
11,2.958,2.44883,297.256,0.0185,NA,NA,NA,2.958,0.0317,298.891
12,2.979,3.14404,297.567,0.0251,NA,NA,NA,2.979,-0.195712,299.254
13,3,1.75282,297.607,0.00464,NA,NA,NA,3,-0.349621,299.289
14,3.02,3.24496,297.479,0.00949,NA,NA,NA,3.02,-0.0413,299.142
15,3.041,3.1833,297.141,0.00675,NA,NA,NA,3.041,-0.0272,298.79
16,3.062,3.56177,297.105,0.0112,NA,NA,NA,3.062,-0.0281,298.744
17,3.083,3.22179,297.013,0.00756,NA,NA,NA,3.083,-0.0208,298.638
18,3.104,4.17683,296.606,0.00297,NA,NA,NA,3.104,0.141443,298.21
19,3.124,3.16994,296.618,0.00394,NA,NA,NA,3.124,0.33532,298.224
20,3.145,2.3117,296.603,0.00233,NA,NA,NA,3.145,-0.0275,298.211
21,3.166,2.33298,296.671,0.00346,NA,NA,NA,3.166,0.003,298.295
22,3.187,2.83367,296.94,0.00923,NA,NA,NA,3.187,0.0173,298.591
23,3.208,2.26464,296.796,0.00465,NA,NA,NA,3.208,-0.00326,298.426
24,3.229,4.41478,296.709,0.0137,NA,NA,NA,3.229,0.00363,298.328
25,3.249,4.34383,296.65,0.0121,NA,NA,NA,3.249,-0.0188,298.283
26,3.27,2.28692,296.112,-8.68E-05,NA,NA,NA,3.27,0.00312,297.621
27,3.291,2.28692,296.112,-8.68E-05,NA,NA,NA,3.27,0.00386,297.876
28,3.312,2.28692,296.112,-8.68E-05,NA,NA,NA,3.27,0.0529,302.076
29,3.354,2.28692,296.112,-8.68E-05,NA,NA,NA,3.27,-0.0113,308.236
30,3.458,0.80975,306.007,0.142866,NA,NA,NA,3.458,0.121964,307.255
31,3.479,-1.6053,300.304,0.20057,NA,NA,NA,3.479,-0.041,301.619
32,3.499,0.957269,297.959,0.0909,NA,NA,NA,3.499,-0.0446,299.643
33,3.52,-0.60037,298.107,0.136779,NA,NA,NA,3.52,0.186976,300.168
34,3.541,-1.3515,298.469,0.159882,NA,NA,NA,3.541,-0.0731,300.547
35,3.562,-2.66105,299.383,0.53623,NA,NA,NA,3.562,0.142695,301.455
36,3.583,-1.90441,299.875,0.47098,NA,NA,NA,3.583,-0.0393,301.927
37,3.624,-2.05281,300.835,0.449359,NA,NA,NA,3.624,-0.0404,302.802
38,3.645,-0.0642,300.909,0.281135,NA,NA,NA,3.645,-0.0501,302.797
39,3.666,-0.328467,301.443,0.193629,NA,NA,NA,3.666,0.230687,303.283
40,3.708,-3.96192,300.589,0.45261,NA,NA,NA,3.708,-0.0413,302.649
41,3.729,-2.79243,300.964,0.360008,NA,NA,NA,3.729,-0.0246,303.003
42,3.749,-3.56182,300.565,0.344201,NA,NA,NA,3.749,0.0224,302.696
43,3.77,-0.656522,300.266,0.223337,NA,NA,NA,3.77,0.11623,302.294
44,3.791,1.05509,299.858,0.162837,NA,NA,NA,3.791,-0.557502,301.889
45,3.833,1.01452,298.103,0.0856,NA,NA,NA,3.833,-0.249643,299.926
46,3.854,3.35719,297.215,0.0464,NA,NA,NA,3.854,-0.163021,299.005
47,3.874,3.77675,296.938,0.0402,NA,NA,NA,3.874,0.142142,298.733
48,3.895,2.91502,296.601,0.0178,NA,NA,NA,3.895,0.0122,298.407
49,3.916,3.09958,296.714,0.013,NA,NA,NA,3.916,0.089,298.528
50,3.937,3.55039,296.888,0.0222,NA,NA,NA,3.937,0.0211,298.714
51,3.958,3.60738,297.079,0.0208,NA,NA,NA,3.958,0.0737,298.915
52,3.979,3.86185,297.117,0.0243,NA,NA,NA,3.979,0.0402,298.967
53,4,3.64938,297.051,0.018,NA,NA,NA,4,-0.0547,298.901
54,4.02,3.388,296.993,0.0131,NA,NA,NA,4.02,0.0724,298.852
55,4.041,2.96885,297.091,0.0101,NA,NA,NA,4.041,0.103133,298.906
56,4.062,3.16255,296.873,0.0111,NA,NA,NA,4.062,0.138561,298.678
57,4.083,3.16255,296.873,0.0111,NA,NA,NA,4.062,0.000333,298.483
58,4.104,2.90599,297.552,0.0162,NA,NA,NA,4.104,-0.0426,298.553
59,4.124,4.25336,296.841,0.0226,NA,NA,NA,4.124,-0.135376,298.286
60,4.145,3.34636,296.368,0.0216,NA,NA,NA,4.145,-0.023,298.213
61,4.166,-0.343345,296.536,0.0246,NA,NA,NA,4.166,-0.177428,298.068
62,4.187,2.25634,296.318,0.0136,NA,NA,NA,4.187,-0.15737,297.908
63,4.208,3.63265,295.763,0.0292,NA,NA,NA,4.208,-0.0605,297.489
64,4.229,5.9358,295.758,0.10283,NA,NA,NA,4.229,-0.179319,297.085
65,4.249,5.9358,295.758,0.10283,NA,NA,NA,4.229,-0.535936,297.507
66,4.27,5.9358,295.758,0.10283,NA,NA,NA,4.229,0.158192,298.651
67,4.312,5.9358,295.758,0.10283,NA,NA,NA,4.229,-0.429056,301.738
68,4.333,5.9358,295.758,0.10283,NA,NA,NA,4.229,0.0753,303.603
69,4.374,5.9358,295.758,0.10283,NA,NA,NA,4.229,0.0743,302.628
70,4.395,5.9358,295.758,0.10283,NA,NA,NA,4.229,0.0778,303.626
71,4.458,-4.11208,300.17,0.288577,NA,NA,NA,4.624,0.315786,301.619
72,4.479,-4.11208,300.17,0.288577,NA,NA,NA,4.624,0.414541,303.563
73,4.499,-4.11208,300.17,0.288577,NA,NA,NA,4.624,-0.0187,304.069
74,4.604,-4.11208,300.17,0.288577,NA,NA,NA,4.624,0.400158,305.128
75,4.624,-4.11208,300.17,0.288577,NA,NA,NA,4.624,0.000351,301.417
76,4.645,13.5595,296.321,0.0615,NA,NA,NA,4.645,0.109278,297.426
77,4.666,-4.2537,297.484,0.246839,NA,NA,NA,4.687,-0.0669,297.389
78,4.687,-4.2537,297.484,0.246839,NA,NA,NA,4.687,-0.280985,298.835
79,4.708,13.6473,296.475,0.12323,NA,NA,NA,4.708,-0.157986,297.674
80,4.729,-12.0298,295.793,0.0981,NA,NA,NA,4.729,0.0458,297.303
81,4.791,-12.0298,295.793,0.0981,NA,NA,NA,4.729,0.138382,304.538
82,4.916,-12.0298,295.793,0.0981,NA,NA,NA,4.729,-0.392747,303.654
83,4.937,-12.0298,295.793,0.0981,NA,NA,NA,4.729,0.540181,305.203
84,4.979,-12.0298,295.793,0.0981,NA,NA,NA,4.729,0.246629,297.465
85,5.02,-12.0298,295.793,0.0981,NA,NA,NA,4.729,0.150916,302.587
86,5.041,-12.0298,295.793,0.0981,NA,NA,NA,4.729,0.228074,305.076
87,5.062,8.63097,303.376,0.530191,NA,NA,NA,5.354,0.114929,304.586
88,5.124,8.63097,303.376,0.530191,NA,NA,NA,5.354,-0.104327,303.953
89,5.145,8.63097,303.376,0.530191,NA,NA,NA,5.354,0.165149,303.949
90,5.166,8.63097,303.376,0.530191,NA,NA,NA,5.354,0.127748,303.578
91,5.187,8.63097,303.376,0.530191,NA,NA,NA,5.354,-0.112411,303.442
92,5.208,8.63097,303.376,0.530191,NA,NA,NA,5.354,-0.106521,303.391
93,5.229,8.63097,303.376,0.530191,NA,NA,NA,5.354,0.165019,303.641
94,5.249,8.63097,303.376,0.530191,NA,NA,NA,5.354,-0.0755,303.292
95,5.27,8.63097,303.376,0.530191,NA,NA,NA,5.354,-0.0671,303.361
96,5.291,8.63097,303.376,0.530191,NA,NA,NA,5.354,-0.127535,303.234
97,5.312,8.63097,303.376,0.530191,NA,NA,NA,5.354,0.223309,303.356
98,5.333,8.63097,303.376,0.530191,NA,NA,NA,5.354,-0.141675,303.63
99,5.354,8.63097,303.376,0.530191,NA,NA,NA,5.354,0.173844,299.364
100,5.374,8.63097,303.376,0.530191,NA,NA,NA,5.354,-0.0791,304.399
101,5.395,3.38277,298.023,0.203615,NA,NA,NA,5.416,0.131276,303.757
102,5.416,3.38277,298.023,0.203615,NA,NA,NA,5.416,0.27775,299.573
103,5.437,8.19844,295.435,0.206995,NA,NA,NA,5.437,-0.0888,296.825
104,5.458,6.78605,295.743,0.247796,NA,NA,NA,5.458,-0.0343,297.034
105,5.479,7.67113,296.034,0.232603,NA,NA,NA,5.479,-0.0469,297.314
106,5.499,8.72349,296.23,0.256959,NA,NA,NA,5.499,0.128665,297.484
107,5.52,3.66019,295.95,0.247274,NA,NA,NA,5.52,0.0129,297.187
108,5.541,5.70287,295.851,0.131792,NA,NA,NA,5.541,0.0805,296.967
109,5.562,5.70287,295.851,0.131792,NA,NA,NA,5.541,0.0502,297.338
110,5.583,-4.76088,296.375,0.248186,NA,NA,NA,5.583,0.0306,297.815
111,5.604,-6.71049,296.58,0.329376,NA,NA,NA,5.604,-0.014,298.191
112,5.624,-7.50378,297.207,0.406698,NA,NA,NA,5.624,-0.0167,298.835
113,5.645,-8.32704,297.204,0.41176,NA,NA,NA,5.645,-0.0363,298.799
114,5.666,-6.08081,296.965,0.304388,NA,NA,NA,5.666,-0.0466,298.536
115,5.687,-3.90149,296.6,0.233946,NA,NA,NA,5.687,-0.161815,298.116
116,5.708,-5.11309,296.622,0.221601,NA,NA,NA,5.708,0.0408,298.102
117,5.729,-4.16223,296.508,0.233734,NA,NA,NA,5.729,-0.144936,297.958
118,5.749,-5.37334,296.487,0.221965,NA,NA,NA,5.749,-0.12833,297.93
119,5.77,-3.27891,296.284,0.174023,NA,NA,NA,5.77,0.107107,297.71
120,5.791,-3.0483,296.349,0.181224,NA,NA,NA,5.791,-0.104537,297.764
121,5.812,-0.617836,296.02,0.128662,NA,NA,NA,5.812,-0.00987,297.407
122,5.833,0.819294,295.74,0.0966,NA,NA,NA,5.833,-0.00611,297.094
123,5.854,2.36356,295.474,0.0661,NA,NA,NA,5.854,-0.025,296.833
124,5.874,3.59177,295.231,0.0493,NA,NA,NA,5.874,0.0203,296.572
125,5.895,3.49505,294.941,0.0438,NA,NA,NA,5.895,0.0306,296.238
126,5.916,3.45055,294.808,0.0421,NA,NA,NA,5.916,0.0409,296.072
127,5.937,3.25785,294.655,0.0455,NA,NA,NA,5.937,0.00159,295.883
128,5.958,3.41747,294.508,0.0512,NA,NA,NA,5.958,0.0276,295.701
129,5.979,4.29107,294.436,0.0522,NA,NA,NA,5.979,-0.0114,295.612
130,6,3.31113,294.336,0.0442,NA,NA,NA,6,0.0203,295.492
131,6.02,4.15125,294.355,0.0471,NA,NA,NA,6.02,0.0394,295.5
132,6.041,3.69412,294.144,0.0366,NA,NA,NA,6.041,0.0454,295.268
133,6.062,3.95551,294.159,0.045,NA,NA,NA,6.062,0.00991,295.282
134,6.083,3.88631,293.994,0.049,NA,NA,NA,6.083,0.0116,295.092
135,6.104,3.74643,293.797,0.0476,NA,NA,NA,6.104,0.000655,294.873
136,6.124,3.97613,293.634,0.0507,NA,NA,NA,6.124,0.0134,294.708
137,6.145,2.22098,293.652,0.0885,NA,NA,NA,6.145,0.0184,294.68
138,6.166,2.22098,293.652,0.0885,NA,NA,NA,6.145,-0.0257,294.223
139,6.187,2.22098,293.652,0.0885,NA,NA,NA,6.145,-0.014,298.895
140,6.208,4.99721,295.568,0.124233,NA,NA,NA,6.249,0.0362,301.269
141,6.229,4.99721,295.568,0.124233,NA,NA,NA,6.249,0.191611,297.632
142,6.249,4.99721,295.568,0.124233,NA,NA,NA,6.249,-0.0287,296.857
143,6.27,3.53014,293.546,0.136775,NA,NA,NA,6.27,0.0164,294.793
144,6.291,3.26724,292.763,0.0714,NA,NA,NA,6.291,0.0186,293.965
145,6.312,2.31864,293.144,0.0852,NA,NA,NA,6.312,0.0221,294.333
146,6.333,1.97267,293.202,0.0954,NA,NA,NA,6.333,-0.0346,294.369
147,6.354,0.899326,293.337,0.101497,NA,NA,NA,6.354,0.0406,294.526
148,6.374,-0.742169,293.481,0.121979,NA,NA,NA,6.374,-0.0318,294.654
