DOY,co2_flux,air_temperature,ET,,,,
2.729,1.87232,300.462,2.10E-03,,,,
2.77,-9.83013,303.801,6.06E-02,,,,
2.791,0.481164,301.241,4.44E-02,,,,
2.812,2.08077,298.615,4.56E-02,,,,
2.833,6.7644,298.574,5.02E-03,,,,
2.854,0.730851,298.001,5.33E-02,,,,
2.874,3.04995,297.793,3.67E-02,,,,
2.895,6.55399,297.964,1.02E-02,,,,
2.916,3.04175,297.506,2.71E-02,,,,
2.937,1.5973,297.658,7.86E-03,,,,
2.958,2.44883,297.256,1.85E-02,,,,
2.979,3.14404,297.567,2.51E-02,,,,
3,1.75282,297.607,4.64E-03,,,,
3.02,3.24496,297.479,9.49E-03,,,,
3.041,3.1833,297.141,6.75E-03,,,,
3.062,3.56177,297.105,1.12E-02,,,,
3.083,3.22179,297.013,7.56E-03,,,,
3.104,4.17683,296.606,2.97E-03,,,,
3.124,3.16994,296.618,3.94E-03,,,,
3.145,2.3117,296.603,2.33E-03,,,,
3.166,2.33298,296.671,3.46E-03,,,,
3.187,2.83367,296.94,9.23E-03,,,,
3.208,2.26464,296.796,4.65E-03,,,,
3.229,4.41478,296.709,1.37E-02,,,,
3.249,4.34383,296.65,1.21E-02,,,,
3.27,2.28692,296.112,-8.68E-05,,,,
3.458,0.80975,306.007,0.142866,,,,
3.479,-1.6053,300.304,0.20057,,,,
3.499,0.957269,297.959,9.09E-02,,,,
3.52,-0.60037,298.107,0.136779,,,,
3.541,-1.3515,298.469,0.159882,,,,
3.562,-2.66105,299.383,0.53623,,,,
3.583,-1.90441,299.875,0.47098,,,,
3.604,-1.17778,300.745,0.408189,,,,
3.624,-2.05281,300.835,0.449359,,,,
3.645,-6.42E-02,300.909,0.281135,,,,
3.666,-0.328467,301.443,0.193629,,,,
3.687,-1.73545,301.275,0.320272,,,,
3.708,-3.96192,300.589,0.45261,,,,
3.729,-2.79243,300.964,0.360008,,,,
3.749,-3.56182,300.565,0.344201,,,,
3.77,-0.656522,300.266,0.223337,,,,
3.791,1.05509,299.858,0.162837,,,,
3.833,1.01452,298.103,8.56E-02,,,,
3.854,3.35719,297.215,4.64E-02,,,,
3.874,3.77675,296.938,4.02E-02,,,,
3.895,2.91502,296.601,1.78E-02,,,,
3.916,3.09958,296.714,1.30E-02,,,,
3.937,3.55039,296.888,2.22E-02,,,,
3.958,3.60738,297.079,2.08E-02,,,,
3.979,3.86185,297.117,2.43E-02,,,,
4,3.64938,297.051,1.80E-02,,,,
4.02,3.388,296.993,1.31E-02,,,,
4.041,2.96885,297.091,1.01E-02,,,,
4.062,3.16255,296.873,1.11E-02,,,,
4.104,2.90599,297.552,1.62E-02,,,,
4.124,4.25336,296.841,2.26E-02,,,,
4.145,3.34636,296.368,2.16E-02,,,,
4.166,-0.343345,296.536,2.46E-02,,,,
4.187,2.25634,296.318,1.36E-02,,,,
4.208,3.63265,295.763,2.92E-02,,,,
4.229,5.9358,295.758,0.10283,,,,
4.624,-4.11208,300.17,0.288577,,,,
4.645,13.5595,296.321,6.15E-02,,,,
4.687,-4.2537,297.484,0.246839,,,,
4.708,13.6473,296.475,0.12323,,,,
4.729,-12.0298,295.793,9.81E-02,,,,
5.354,8.63097,303.376,0.530191,,,,
5.416,3.38277,298.023,0.203615,,,,
5.437,8.19844,295.435,0.206995,,,,
5.458,6.78605,295.743,0.247796,,,,
5.479,7.67113,296.034,0.232603,,,,
5.499,8.72349,296.23,0.256959,,,,
5.52,3.66019,295.95,0.247274,,,,
5.541,5.70287,295.851,0.131792,,,,
5.583,-4.76088,296.375,0.248186,,,,
5.604,-6.71049,296.58,0.329376,,,,
5.624,-7.50378,297.207,0.406698,,,,
5.645,-8.32704,297.204,0.41176,,,,
5.666,-6.08081,296.965,0.304388,,,,
5.687,-3.90149,296.6,0.233946,,,,
5.708,-5.11309,296.622,0.221601,,,,
5.729,-4.16223,296.508,0.233734,,,,
5.749,-5.37334,296.487,0.221965,,,,
5.77,-3.27891,296.284,0.174023,,,,
5.791,-3.0483,296.349,0.181224,,,,
5.812,-0.617836,296.02,0.128662,,,,
5.833,0.819294,295.74,9.66E-02,,,,
5.854,2.36356,295.474,6.61E-02,,,,
5.874,3.59177,295.231,4.93E-02,,,,
5.895,3.49505,294.941,4.38E-02,,,,
5.916,3.45055,294.808,4.21E-02,,,,
5.937,3.25785,294.655,4.55E-02,,,,
5.958,3.41747,294.508,5.12E-02,,,,
5.979,4.29107,294.436,5.22E-02,,,,
6,3.31113,294.336,4.42E-02,,,,
6.02,4.15125,294.355,4.71E-02,,,,
6.041,3.69412,294.144,3.66E-02,,,,
6.062,3.95551,294.159,4.50E-02,,,,
6.083,3.88631,293.994,4.90E-02,,,,
6.104,3.74643,293.797,4.76E-02,,,,
6.124,3.97613,293.634,5.07E-02,,,,
6.145,2.22098,293.652,8.85E-02,,,,
6.249,4.99721,295.568,0.124233,,,,
6.27,3.53014,293.546,0.136775,,,,
6.291,3.26724,292.763,7.14E-02,,,,
6.312,2.31864,293.144,8.52E-02,,,,
6.333,1.97267,293.202,9.54E-02,,,,
6.354,0.899326,293.337,0.101497,,,,
6.374,-0.742169,293.481,0.121979,,,,
6.395,-4.23066,293.894,0.146516,,,,
6.416,-5.25516,294.328,0.164393,,,,
6.437,-5.18298,294.355,0.151512,,,,
6.458,-6.7262,294.671,0.1827,,,,
6.479,-9.87073,295.401,0.269402,,,,
6.499,-11.9847,295.784,0.3457,,,,
6.52,-12.1143,295.579,0.3662,,,,
6.541,-11.475,295.285,0.320414,,,,
6.562,-10.1527,295.619,0.3038,,,,
6.583,-12.6027,295.809,0.37663,,,,
6.604,-12.5696,296.01,0.402187,,,,
6.624,-10.902,296.019,0.368622,,,,
6.645,-10.0782,296.027,0.335465,,,,
6.666,-9.51158,296.165,0.340223,,,,
6.687,-8.16756,296.252,0.322928,,,,
6.708,-7.83331,296.186,0.281468,,,,
6.729,-6.29453,295.878,0.230452,,,,
6.749,-6.45127,295.836,0.194449,,,,
6.77,-4.4952,295.786,0.163867,,,,
6.791,-1.54656,295.297,9.54E-02,,,,
6.812,0.240224,295.141,7.78E-02,,,,
6.833,0.706316,294.974,5.14E-02,,,,
6.854,1.77439,294.897,4.62E-02,,,,
6.874,2.47076,294.755,3.34E-02,,,,
6.895,2.36712,294.695,2.71E-02,,,,
6.916,2.38332,294.633,2.10E-02,,,,
6.937,2.61043,294.605,2.25E-02,,,,
6.958,2.34356,294.552,1.86E-02,,,,
6.979,2.46536,294.416,1.24E-02,,,,
7,2.22127,294.448,1.35E-02,,,,
7.02,2.66173,293.963,1.16E-03,,,,
7.041,2.60174,293.695,-1.36E-03,,,,
7.062,1.98584,293.964,1.43E-03,,,,
7.083,0.961157,293.496,-1.48E-03,,,,
7.104,-4.21563,292.311,1.22E-03,,,,
7.124,1.0159,292.418,-4.85E-04,,,,
7.145,1.87618,291.98,-1.58E-03,,,,
7.166,1.33214,291.133,-4.23E-03,,,,
7.187,-0.503684,290.234,-3.45E-03,,,,
7.249,6.7767,289.013,-6.41E-03,,,,
7.27,-5.44466,289.189,2.37E-03,,,,
7.291,9.16427,291.675,-1.91E-03,,,,
7.312,-5.34E-02,294.191,2.88E-02,,,,
7.333,-2.54807,295.267,8.19E-02,,,,
7.354,-4.59248,295.551,0.104533,,,,
7.374,-5.50125,296.071,0.124281,,,,
7.395,-6.9584,297.16,0.206391,,,,
7.416,-7.26028,297.93,0.228748,,,,
7.437,-8.68187,298.462,0.289121,,,,
7.458,-8.50468,299.184,0.347938,,,,
7.479,-7.76147,299.879,0.429079,,,,
7.499,-5.16199,300.167,0.376189,,,,
7.52,-3.95578,300.645,0.438462,,,,
7.541,-4.08517,300.356,0.418133,,,,
7.562,-3.66163,300.76,0.360816,,,,
7.583,-3.83607,299.964,0.348015,,,,
7.604,-4.3733,299.964,0.33699,,,,
7.624,-5.07678,300.317,0.389936,,,,
7.645,-6.71935,300.916,0.513325,,,,
7.666,-5.52163,300.824,0.459014,,,,
7.687,-5.98313,300.719,0.452832,,,,
7.708,-4.66606,300.138,0.369252,,,,
7.729,-4.34783,299.882,0.320031,,,,
7.749,-3.83427,299.87,0.266561,,,,
7.77,-3.23733,299.617,0.211939,,,,
7.791,-2.15038,299.671,0.169594,,,,
7.812,-0.524086,299.984,0.123488,,,,
7.833,-0.554779,299.747,0.11371,,,,
7.854,1.43162,299.034,7.52E-02,,,,
7.874,2.71805,298.226,3.85E-02,,,,
7.895,3.28123,297.492,2.76E-02,,,,
7.916,3.25321,296.745,2.04E-02,,,,
7.937,3.1338,296.17,1.16E-02,,,,
7.958,2.93806,295.61,9.52E-03,,,,
7.979,2.09245,295.198,4.77E-03,,,,
8,2.48764,294.986,3.95E-03,,,,
